Business Name,Establishment District,Business Activity,Phone Number,Email Address
RANDA CONSTRUCTION LTD,NYARUGENGE,Construction Of All Types Of Residential Buildings: single-family houses  multi-family buildings  including high-rise buildings,783865700,foundationstone@foxmail.com
FIRST CHOICE CONSTRUCTION Ltd,GASABO,Construction Of All Types Of Residential Buildings: single-family houses  multi-family buildings  including high-rise buildings,788305688,RMERIC86@GMAIL.COM
ENERGO RWANDA LTD,GASABO,Construction Of All Types Of Residential Buildings: single-family houses  multi-family buildings  including high-rise buildings,783010660,energo-rwanda@energonigeria.com
AFRIPRECAST Ltd,GASABO,Construction Of All Types Of Residential Buildings: single-family houses  multi-family buildings  including high-rise buildings,783450576,lkalimba@trinity-lawyers.com
BUGESERA AIRPORT COMPANY Ltd,GASABO,Construction of buildings,738304050,rmugisha@trustchambers.com
MM & RJD COMPANY Ltd,NYARUGENGE,Construction of buildings,788451378,rujoi@yahoo.fr
EMG  CONSTRUCTION Ltd,NYARUGENGE,Construction of buildings,788308838,emgconstruction1@gmail.com
MUHABURA MULTICHOICE COMPANY Ltd,NYARUGENGE,Construction of buildings,788851430,harelimanegide@yahoo.fr
STRONG CONSTRUCTIONS LTD & STAR CONTRUCTION COMPANY LTD,NYARUGENGE,Construction Of Civil Engineering Constructions For: Longdistance Pipelines  Communication And Power Lines; Urban Pipelines  Urban Communication And Power Lines; Ancillary Urban Works; Water Main And Line Construction; Irrigation Systems (Canals); Reservoirs,788500384,strongconstructios@yahoo.fr
HORIZON CONSTRUCTION,KICUKIRO,Construction Of Motorways  Streets  Roads  Other Vehicular And Pedestrian Ways,525700374,info.construction@horizongroup.rw
STECOL CORPORATION,GASABO,Construction Of Motorways  Streets  Roads  Other Vehicular And Pedestrian Ways,787329606,cwq0822@163.com
GM CIVIL ENGINEERING CONTRACTORS LTD,KICUKIRO,Construction Of Motorways  Streets  Roads  Other Vehicular And Pedestrian Ways,788301162,gm_cec@yahoo.fr
SAM CONSTRUCT Ltd,NYARUGENGE,Construction Of Motorways  Streets  Roads  Other Vehicular And Pedestrian Ways,788517756,samconstruct@yahoo.com
GEMT COMPANY Ltd,GASABO,Construction Of Motorways  Streets  Roads  Other Vehicular And Pedestrian Ways,788572340,gemtcompany@yahoo.fr
ALL AFRICA GOLF EAST AFRICA Ltd,GASABO,Construction work  other than buildings  such as:outdoor sports facilities,782866838,allafricagolf@gmail.com
DHL EXPRESS (RWANDA)  LTD,NYARUGENGE,Courier Pickup  Sorting  Transport And Delivery (Domestic Or International) Of Letterpost And (Mailtype) Parcels And Packages By Firms Not Operating Under A Universal Service Obligation,788451158,Brett.Hattaway@dhl.com
MAP LTD,GASABO,Creation And Realization Of Advertising Campaigns,788322330,mapindoor@yahoo.fr
ATLANTIS MICROFINANCE LTD,NYARUGENGE,Credit Unions,788306841,admin@atlantismicrofinance.co.rw
ASA MICROFINANCE (RWANDA) PLC ,GASABO,Credit Unions,739671869,jamil.bd@asa-international.com
AOS Ltd,GASABO,Customizing Of Software.,4747,info@aos.rw
LOCUS DYNAMICS  LTD,GASABO,Designing The Structure And Content Of  And/Or Writing The Computer Code Necessary  To Create And Implement Systems Software  Software Applications  Databases  Web Pages,280305002,info@ngali.com
ECAM BURUNDI & RCEC LTD,GASABO,Drainage of agricultural or forestry land,788358911,evode13@yahoo.fr
ZOLA ELECTRIC RWANDA Ltd,GASABO,Electrical Installation,788305758,Samuel.mugisha@zolaelectric.com
RUMA CERTIFIED PUBLIC ACCOUNTANTS LTD,NYARUGENGE,Examination Of Accounts And Certification Of Their Accuracy,788301220,info@rumacpa.com
NOBLE DESIGN LTD,KICUKIRO,Fashion Design Related To Textiles  Wearing Apparel  Shoes  Jewelry  Furniture And Other Interior Decoration And Other Fashion Goods As Well As Other Personal Or Household Goods,788757575,sekabaraganussa@yahoo.fr
"BRD DEVELOPMENT FUND ""BDF""",NYARUGENGE,Financial service activities primarily concerned with making loans by institutions not involved in monetary intermediation  where the granting of credit can take a variety of forms  such as loans  mortgages  credit cards etc.  providing the following types of services: granting of consumer credit  international trade financing  provision of long-term finance to industry by industrial banks  money lending outside the banking system  credit granting for house purchase by specialized non-depository institutions  pawnshops and pawnbrokers,788312318,b.ingabire@bdj.rw
ACCESS TO FINANCE RWANDA Ltd,GASABO,Financial service activities primarily concerned with making loans by institutions not involved in monetary intermediation  where the granting of credit can take a variety of forms  such as loans  mortgages  credit cards etc.  providing the following types of services: granting of consumer credit  international trade financing  provision of long-term finance to industry by industrial banks  money lending outside the banking system  credit granting for house purchase by specialized non-depository institutions  pawnshops and pawnbrokers,782507751,info@afr.rw
RSWITCH LTD,GASABO,Financial Transaction Processing And Settlement Activities  Including For Credit Card Transactions,722124440,mathieu.rwiyereka@rswitch.co.rw
VISA RWANDA Limited,NYARUGENGE,Financial Transaction Processing And Settlement Activities  Including For Credit Card Transactions,252503075,
AFRICAN LEADERSHIP UNIVERSITY Ltd,NYARUGENGE,First Stage Of Tertiary Education (Not Leading To An Advanced Research Qualification),789176611,fswaniker@algroup.org
SDC INTERLOGISTICS Ltd,GASABO,Freight Transport By Road,788309387,info@sdcinterlogistics.com
BEI JING PAPER COORPORATION LTD,GASABO,Further Processing Of Paper And Paperboard:,788879888,wangyuan2066@gmail.com
FOREFRONT SERVICES Ltd,GASABO,General (Non Specialized) Cleaning Of All Types Of Buildings,788310153,forefrontltd@gmail.com
FIRST CLEANING COMPANY ,GASABO,General (Non Specialized) Cleaning Of Other Business And Professional Premises And Multi Unit Residential Buildings,788763235,firstcleaning.rw@gmail.com
AKAGERA AVIATION Ltd,KICUKIRO,General Aviation Activities (Such As Transport Of Passengers By Aero Clubs For Instruction Or Pleasure),788878279,office@akageraaviation.com
(ATL) AVIATION TRAVEL AND LOGISTICS HOLDING,KICUKIRO,General Aviation Activities (Such As Transport Of Passengers By Aero Clubs For Instruction Or Pleasure),788596587,jules.ndenga@atl.rw
LYCEE DE KICUKIRO APADE,KICUKIRO,General School Education In The Second Stage Of The Secondary Level Giving  In Principle  Access To Higher Education ,788303988,genokaberius2007@yahoo.fr
RIVIERA SCHOOLS Ltd,GASABO,General School Education In The Second Stage Of The Secondary Level Giving  In Principle  Access To Higher Education ,788304306,rivierahighschoolacc@gmail.com
THE EARTH  SCHOOL,NYARUGENGE,General School Education In The Second Stage Of The Secondary Level Giving  In Principle  Access To Higher Education ,722479137,info@theearthschoolafrica.com
SWISSCONTACT RWANDA  LTD,GASABO,General School Education In The Second Stage Of The Secondary Level Giving  In Principle  Access To Higher Education ,252585120,candide.nyirabasinga@swisscontact.org
LES MINOTERIES  INDUSTRIELLES IMPORT-EXPORT MINIMEX ,KICUKIRO,Grain Milling: Production Of Flour  Groats  Meal Or Pellets Of Wheat  Rye  Oats  Maize (Corn) Or Other Cereal Grains,788304626,info@minimex-sa.com
PEMBE FLOUR MILLS (RWANDA) LTD,GICUMBI,Grain Milling: Production Of Flour  Groats  Meal Or Pellets Of Wheat  Rye  Oats  Maize (Corn) Or Other Cereal Grains,788307070,hakim@pemberwanda.com
SOSOMA INDUSTRIES Ltd,KICUKIRO,Grain Milling: Production Of Flour  Groats  Meal Or Pellets Of Wheat  Rye  Oats  Maize (Corn) Or Other Cereal Grains,788383189,sosoma@sosoma.rw
GASABO GRAIN MILLING COMPANY Ltd,GASABO,Grain Milling: Production Of Flour  Groats  Meal Or Pellets Of Wheat  Rye  Oats  Maize (Corn) Or Other Cereal Grains,784840529,mikontrade@gmail.com
AFRICA IMPROVED FOODS RWANDA Limited,GASABO,Grain Milling: Production Of Flour  Groats  Meal Or Pellets Of Wheat  Rye  Oats  Maize (Corn) Or Other Cereal Grains,788380350,jurgen.paulis@dsm.com
JABANA MAIZE FLOUR Ltd,GASABO,Grain Milling: Production Of Flour  Groats  Meal Or Pellets Of Wheat  Rye  Oats  Maize (Corn) Or Other Cereal Grains,788561457,dedekabanda@yahoo.fr
COMPAGNIE POUR L'ORGANISATION ET LA PROMOTION DES ACTIVITES CAFE(COOPAC) LTD,RUBAVU,Growing of Coffee,788353543,contact@coopac.cop
MATA TEA COMPANY Ltd,NYARUGURU,Growing of Tea,788304126,munguyve@yahoo.fr
CENTRE PASTORAL NOTRE DAME DE FATIMA LTD,MUSANZE,Guesthouses,787652534,mukamwezimarie@gmail.com
DAVIS COLLEGE Ltd,NYARUGENGE,Higher Education,786429050,paul@daviscollege.com
OSHEN HEALTHCARE RWANDA Ltd,GASABO,Hospital Activities,737061741,jkaberuka@trustchambers.com
HOTEL DES MILLE COLLINES (HMC) Ltd,NYARUGENGE,Hotels,788300433,metuschelah.uwamahoro@millecollines.rw
HOTEL GORILLAS LTD,NYARUGENGE,Hotels,788300473,reservation@gorillashotels.com
PRIME HOLDINGS Ltd,NYARUGENGE,Hotels,789265120,nina.nuwabera@gmail.com
TOURISM PROMOTION SERVICES (RWANDA) LIMITED,NYARUGENGE,Hotels,250597100,mmbuvi@serena.co.rw
GOVERNORS CAMP RWANDA LTD,MUSANZE,Hotels,788382030,reception.rwanda@governorscamp.com
HOTEL SAINT- ANDRE KABGAYI,MUHANGA,Hotels,788866927,saintandrekabgayi@yahoo.fr
"ALLIANCE KIGALI LIBRE SERVICE LEMIGO HOTEL ""AKLS"" LTD",GASABO,Hotels,788304652,accountant@lemigohotel.com
HOTEL VISION LTD,NYARUGENGE,Hotels,788300080,runsansefairco@yahoo.com
NEW CENTURY DEVELOPMENT LTD,NYARUGENGE,Hotels,788301766,mathias@doyelcygroup.com
"HOTEL CHEZ LANDO ""H.C.L"" LTD",GASABO,Hotels,788307091,info@chezlando.com
HOTEL VILLA PORTOFINO KIGALI Ltd,GASABO,Hotels,788230696,mulingajohn@gmail.com
KIGALI CONVENTION CENTRE Ltd,GASABO,Hotels,738300408,jeanpaul.kabagema@radissonblu.com
SPLENDID KARISIMBI LTD,NYARUGENGE,Hotels,788517073,info@hotlkarisimbi.com
CLUB HOUSE LA PALISSE LTD,KICUKIRO,Hotels,788305505,palisseho@yahoo.fr
NYUNGWE LODGE RWANDA Ltd,GASABO,Hotels,788312008,hamish.stuart@istithmarworld.com
SPLENDID HOTEL,MUHANGA,Hotels,788421573,shamimayaya@gmail.com
DEREVA HOTEL RWAMAGANA,RWAMAGANA,Hotels,788306512,orang_rwanda@yahoo.com
CLASSIC HOTEL Ltd,KICUKIRO,Hotels,788352046,info@classichotelkigali.com
SPORTS VIEW HOTEL KIGALI LTD,GASABO,Hotels,788303004,info@sportsviewhotel.com
NOBLEZA HOTEL LTD,KICUKIRO,Hotels,788306512,methodedereva@yahoo.fr
HOTEL HILLTOP AND COUNTRY CLUB LTD,KICUKIRO,Hotels,788305120,danbyirngiro@yahoo.com
HILL VIEW  HOTEL & APARTS Ltd,NYARUGENGE,Hotels,783462500,info@hillviewhotelrwanda.com
DOVE HOTEL Ltd,GASABO,Hotels,788408353,arurangangabo@gmail.com
CITYBLUE HOTELS RWANDA LTD,GASABO,Hotels,733999993,vernon.page@citybluehotel.com
THE MIRROR HOTEL LTD,GASABO,Hotels,788306120,c.ngarambe@brod.rw
URBAN CITYBLUE LTD,NYARUGENGE,Hotels,733999993,vermo.page@citybluehotels.com
GREAT SEASONS HOTEL LTD,GASABO,Hotels,788302288,aimable10@gmail.com
GALAXY HOTEL LTD,NYARUGENGE,Hotels,788303941,info@galaxyhotelrwanda.com
MONTANA VISTA HOTEL LTD,BURERA,Hotels,788304830,mbandalaurent@gmail.com
ELEVATE SUITES LTD,GASABO,Hotels,788300270,info@elevatesuites.com
FIVE TO FIVE HOTEL Ltd,GASABO,Hotels,788599859,fivetofivehotel534@gmail.com
EGECOR CREDO LTD,GASABO,Hotels,788302216,credohotel@gmail.com
LA POSH HOTEL LTD,NYARUGENGE,Hotels,788300429,laposhhotel@gmail.com
LA PALME HOTEL LTD,MUSANZE,Hotels,788302150,manager@lapalmehotel.net
AQUA PLUMBING LTD,KICUKIRO,Installation In Buildings Or Other Construction Projects Of : Heating Systems (Electric  Gas And Oil) furnaces  cooling towers  non-electric solar energy collectors  plumbing and sanitary equipment  ventilation  refrigeration or air-conditioning equipment and ducts  gas fittings  steam piping  fire sprinkler systems  lawn sprinkler systems.,722512464,niyonagizes@yahoo.fr
ALLIED VENTURES LTD,NYARUGENGE,Installation In Buildings Or Other Construction Projects Of : Heating Systems (Electric  Gas And Oil) furnaces  cooling towers  non-electric solar energy collectors  plumbing and sanitary equipment  ventilation  refrigeration or air-conditioning equipment and ducts  gas fittings  steam piping  fire sprinkler systems  lawn sprinkler systems.,783462655,bhavesh@jandu.biz
SHAPOORJI PALLONJI AND COMPANY PRIVATE ,GISAGARA,Installation In Buildings Or Other Construction Projects Of : Heating Systems (Electric  Gas And Oil) furnaces  cooling towers  non-electric solar energy collectors  plumbing and sanitary equipment  ventilation  refrigeration or air-conditioning equipment and ducts  gas fittings  steam piping  fire sprinkler systems  lawn sprinkler systems.,734249995,amarender.neela@spepcrw.com
PRAYOSHA ALUMINIUM & GLASS LIMITED,GASABO,Installation Of Doors (Except Automated And Revolving)  Windows  Door And Window Frames  Of Wood Or Other Materials,782876354,inforw@prayoshaent.com
ATX TECHNOLOGY LTD,GASABO,Installation Of: Electrical Wiring And Fittings; telecommunications wiring  computer network and cable television wiring  including fibre optic  satellite dishes  lighting systems  fire alarms  burglar alarm systems  street lighting and electrical signals  and airport runway lighting,788307909,nnyoike@atxtechnology.co.rw
GENERAL ELECTRICALS AND MECHANICALS RWANDA Ltd,GASABO,Installation Of: Electrical Wiring And Fittings; telecommunications wiring  computer network and cable television wiring  including fibre optic  satellite dishes  lighting systems  fire alarms  burglar alarm systems  street lighting and electrical signals  and airport runway lighting,788304019,gemrwanda@yahoo.com
S.T.O.P S.A.,KICUKIRO,Installation Of: Electrical Wiring And Fittings; telecommunications wiring  computer network and cable television wiring  including fibre optic  satellite dishes  lighting systems  fire alarms  burglar alarm systems  street lighting and electrical signals  and airport runway lighting,788308007,emmaruti@yahoo.fr
VISION TECHNOLOGIES COMPANY (V.T.C) Ltd,NYARUGENGE,Installation Of: Electrical Wiring And Fittings; telecommunications wiring  computer network and cable television wiring  including fibre optic  satellite dishes  lighting systems  fire alarms  burglar alarm systems  street lighting and electrical signals  and airport runway lighting,788682433,info@visiontechnologiescompany.com
MEHTA ELECTRICIALS LTD,NYARUGENGE,Installation Of: Electrical Wiring And Fittings; telecommunications wiring  computer network and cable television wiring  including fibre optic  satellite dishes  lighting systems  fire alarms  burglar alarm systems  street lighting and electrical signals  and airport runway lighting,788306406,dickson.mbotti@gmail.com 
ROBUCO,GASABO,Installing  Repairing  Rebuilding  And Adjusting Mechanical Or Electronic Locking Devices  Safes And Security Vaults,783785852,robuco@hotmail.fr
JKK INTERNATIONAL AFRICA LTD,KICUKIRO,Interior Completion Such As Ceilings  Wooden Wall Coverings  Movable Partitions  Etc.,783004076,elie@jkkafrica.com
TRADE MARK EAST AFRICA RWANDA,GASABO,Investment Advisory Services,788304934,patience.mutesi@trademarkea.com
AFRICAN ALLIANCE RWANDA Ltd,NYARUGENGE,Investment Advisory Services,782398941,securities@africanalliance.com.ug
DELAGUA HEALTH RWANDA (IMPLEMENTATION) LTD,GASABO,Investment Advisory Services,788385234,peter.lwanga@delagua.org
RICKSHAW TRAVELS-RWANDA LTD,NYARUGENGE,Land Transport Of Passengers By Urban Or Suburban Transport Systems. This May Include Different Modes Of Land Transport  Such As By Motorbus  Tramway  Streetcar  Trolley Bus Underground And Elevated Railways Etc.,785475652,rwanda@rickshawtravels.com
TRUST LAW CHAMBERS LTD,GASABO,Legal Representation Of One Party's Interest Against Another Party  Whether Or Not Before Courts Or Other Judicial Bodies By  Or Under Supervision Of  Persons Who Are Members Of The Bar Including Civil Cases  Criminal Cases and Labour Disputes -2354,788304050,cuwimana@trustchambers.com
EQUITY JURIS CHAMBERS,GASABO,Legal Representation Of One Party's Interest Against Another Party  Whether Or Not Before Courts Or Other Judicial Bodies By  Or Under Supervision Of  Persons Who Are Members Of The Bar Including Civil Cases  Criminal Cases and Labour Disputes -2354,788300981,admin@equityjuriuschambers.com
ENSAFRICA RWANDA Limited,GASABO,Legal Representation Of One Party's Interest Against Another Party  Whether Or Not Before Courts Or Other Judicial Bodies By  Or Under Supervision Of  Persons Who Are Members Of The Bar Including Civil Cases  Criminal Cases and Labour Disputes -2354,788658765,jnimbona@ensafrica.com
MRB ATTORNEYS Ltd,GASABO,Legal Representation Of One Party's Interest Against Another Party  Whether Or Not Before Courts Or Other Judicial Bodies By  Or Under Supervision Of  Persons Who Are Members Of The Bar Including Civil Cases  Criminal Cases and Labour Disputes -2354,252580836,info@mrbattorneys.rw
SAHAM ASSURANCE VIE RWANDA Ltd,NYARUGENGE,Life Insurance,788389907,rwandavie@sahamassurance.com
HORIZON LOGISTICS  LTD,KICUKIRO,Logistics Activities (Including Planning  Designing And Supporting Operations Of Transportation Warehousing And Distribution Warehousing And Distribution),788381300,bosco.munyanshongore@horizonlogistics.rw
VICTORIA MOTORS (RWANDA) Ltd,KICUKIRO,Maintenance And Repair Of Motor Vehicles: mechanical repairs  electrical repairs  electronic injection systems repair  ordinary servicing bodywork repair  repair of motor vehicle parts  spraying and painting  repair of screens and windows repair of motor vehicle seats.,783599396,michael.kiiza@victoriamotors.rw
GARAGE ATECAR Ltd,NYARUGENGE,Maintenance And Repair Of Motor Vehicles: mechanical repairs  electrical repairs  electronic injection systems repair  ordinary servicing bodywork repair  repair of motor vehicle parts  spraying and painting  repair of screens and windows repair of motor vehicle seats.,788300497,atecarrwa@yahoo.co.uk
GARAGE AUTO IMPERIAL LTD,NYARUGENGE,Maintenance And Repair Of Motor Vehicles: mechanical repairs  electrical repairs  electronic injection systems repair  ordinary servicing bodywork repair  repair of motor vehicle parts  spraying and painting  repair of screens and windows repair of motor vehicle seats.,788301128,musamathieu@yahoo.fr
"ASSOCIATION DES TECHNICIENS EN MECANIQUE GENERALE ""A.T.M.G"" Ltd",NYARUGENGE,Maintenance And Repair Of Motor Vehicles: mechanical repairs  electrical repairs  electronic injection systems repair  ordinary servicing bodywork repair  repair of motor vehicle parts  spraying and painting  repair of screens and windows repair of motor vehicle seats.,788504056,garageatmg@yahoo.fr
CARTECHNIC $ TRUCKS LTD,NYARUGENGE,Maintenance And Repair Of Motor Vehicles: mechanical repairs  electrical repairs  electronic injection systems repair  ordinary servicing bodywork repair  repair of motor vehicle parts  spraying and painting  repair of screens and windows repair of motor vehicle seats.,788309334,cartechnic@skynet.be
GORRILLA MOTORS Ltd,NYARUGENGE,Maintenance And Repair Of Motor Vehicles: mechanical repairs  electrical repairs  electronic injection systems repair  ordinary servicing bodywork repair  repair of motor vehicle parts  spraying and painting  repair of screens and windows repair of motor vehicle seats.,788300228,
GISHUSHU GARAGE LTD,GASABO,Maintenance And Repair Of Motor Vehicles: mechanical repairs  electrical repairs  electronic injection systems repair  ordinary servicing bodywork repair  repair of motor vehicle parts  spraying and painting  repair of screens and windows repair of motor vehicle seats.,788302810,hankaisq@gmail.com
PRIME ECONOMIC ZONES CO. Ltd,NYARUGENGE,Management Of Real Estate On A Fee Or Contract Basis,788559603,hathanase@yahoo.fr
AMEGERWA LTD,KICUKIRO,Manufacture Of Chairs And Seats For Offices  Workrooms  Hotels  Restaurants  Public And Domestic Premises,788301372,amegerwa@yahoo.fr
TRUST INDUSTRIES LTD,BUGESERA,Manufacture Of Cleaning And Polishing Products,788300015,cmugabo@gmail.com
SAMEER HUSSEIN CO. Ltd,NYARUGENGE,Manufacture Of Compound Cooking Fats,788630323,sameerhussein2001@hotmail.com
V-PLUS PACKAGING INDUSTRIES Limited,GASABO,Manufacture Of Corrugated Paper And Paperboard,787446786,vplusrwanda@gmail.com
MOUNT MERU SOYCO Limited,KAYONZA,Manufacture Of Crude Vegetable Oils: Olive Oil  Soyabean Oil  Palm Oil  Sunflowerseed Oil  Cottonseed Oil  Rape  Colza Or Mustard Oil  Cottonseed Oil  Rape  Colza Or Mustard Oil  Linseed Oil Etc.Oil  Linseed Oil Etc.,788302301,albert.mtgroup@gmail.com
PBG RWANDA Limited,GASABO,Manufacture Of Desktop Computers,782641313,zoran.gordic@positivobgh.com
GISAKURA TEA COMPANY Ltd,NYAMASHEKE,Manufacture Of Extracts And Preparations Based On Tea Or Maté,788834351,kanyesigye_emmy@yahoo.co.uk
GISOVU TEA COMPANY Ltd,KARONGI,Manufacture Of Extracts And Preparations Based On Tea Or Maté,784575503,
PFUNDA TEA COMPANY Ltd,RUBAVU,Manufacture Of Extracts And Preparations Based On Tea Or Maté,255118063,ptc@rwanda1.com
KARONGI TEA FACTORY Ltd,KICUKIRO,Manufacture Of Extracts And Preparations Based On Tea Or Maté,788301379,josiane@karongitea.com
MULINDI FACTORY COMPANY  LTD,GICUMBI,Manufacture Of Extracts And Preparations Based On Tea Or Maté,788310504,info@mulinditeas.com
SHAGASHA TEA COMPANY Ltd,RUSIZI,Manufacture Of Extracts And Preparations Based On Tea Or Maté,788310504,info@shagashateas.com
SOPAV LTD,GASABO,Manufacture Of Fertilizers:Straight Or Complex Nitrogenous  Phosphatic Or Potassic Fertilizers Urea  Crude Natural Phosphates And Crude Natural Potassium Salts,788301643,sopavltd@yahoo.fr
ROTO  LTD,KICUKIRO,Manufacture Of Finished Plastic Products:? Plastic Tubes  Pipes And Hoses; Hose And Pipe Fittings,788404377,rotorwandatanks@mtnonline.rw
AQUA-SAN Ltd,GASABO,Manufacture Of Finished Plastic Products:? Plastic Tubes  Pipes And Hoses; Hose And Pipe Fittings,788307833,aquasan@rwanda1.com
KIGALI PLASTICS LTD,GASABO,Manufacture Of Finished Plastic Products:? Plastic Tubes  Pipes And Hoses; Hose And Pipe Fittings,785504051,kigaliplastics@gmail.com
KIREHE RICE COMPANY Ltd,KIREHE,Manufacture Of Grain Mill Products,788464054,kireherice@gmail.com
GATSIBO RICE COMPANY Ltd,GATSIBO,Manufacture Of Grain Mill Products,788732664,gatsiborice.business@gmail.com
SAFARI CENTER LTD,KICUKIRO,Manufacture Of Household And Personal Hygiene Paper And Cellulose Wadding Products,788301777,supa_rwa@yahoo.fr
MM INDUSTRIES Ltd,KICUKIRO,Manufacture Of Household And Personal Hygiene Paper And Cellulose Wadding Products,786877778,gulamtrading@yahoo.com
SKOL BREWERY Ltd,NYARUGENGE,Manufacture Of Malt Liquors  Such As Beer  Ale  Porter And Stout,788381640,ivan.wulffaert@skolbrewery.rw
FLEXI FOAMS Ltd,KICUKIRO,Manufacture Of Mattresses,785748775,shirazfc@gmail.com
VIVA PRODUCTS  LTD,GASABO,Manufacture Of Mattresses,733240745,ali@ramawa.com
METAFOAM LTD,NYARUGENGE,Manufacture Of Mattresses,788307349,metafoamltd@gmail.com
ALUCLAD RWANDA LTD,NYARUGENGE,Manufacture Of Metal Doors  Windows And Their Frames  Shutters And Gates,736416155,alucladrwd@gmail.com
BLESSED DAIRIES  LTD,GICUMBI,Manufacture Of Milkbased Drinks,788652783,ngirentemiltoni@yahoo.fr
HORIZON SOPYRWA Limited,MUSANZE,Manufacture Of Other Agrochemical Products N.E.C.,788229181,sopyrwa@rwanda1.com
NICE EGGS COMPANY Ltd,NYARUGENGE,Manufacture Of Other Textiles N.E.C.,788305452,coniceggs12@yahoo.com
KANSAI PLASCON RWANDA LTD,GASABO,Manufacture Of Paints And Varnishes  Enamels Or Lacquers,787154010,sadolin_rwanda@yahoo.com
AMACO PAINTS LTD,KICUKIRO,Manufacture Of Paints And Varnishes  Enamels Or Lacquers,788301525,amacopaints@yahoo.fr
CROWN PAINTS RWANDA Ltd,NYARUGENGE,Manufacture Of Paints And Varnishes  Enamels Or Lacquers,788827992,info@crownpaints.co.ke
EAST AFRICAN GRANITE  INDUSTRIES Limited,NYAGATARE,Manufacture Of Parts And Accessories Of Bodies For Motor Vehicles:safety belts  airbags  doors  bumpers,788302629,info@eagi.rw
PRODEV-RWANDA LTD,RWAMAGANA,Manufacture Of Prepared Feeds For Farm Animals  Including Animal Feed Concentrates And Feed Supplements,788302858,fmutalikanwa@yahoo.fr
ADMA INTERNATIONAL LIMITED,GASABO,Manufacture Of Rusks  Biscuits And Other ¿Dry¿ Bakery Products,788773333,info@admarwanda.com
S R B INVESTMENTS (RWANDA) LTD,GASABO,Manufacture Of Sacks And Bags Of Paper,782535345,suchir.bhatnagar@gmail.com
SMART APPLICATIONS INTERNATIONAL (RWANDA) Ltd,NYARUGENGE,Manufacture Of Smart Card Readers,783091571,info.rw@smartapplicationsgroup.com
UNIVERSAL MANUFACTURE RWANDA LTD,NYARUGENGE,Manufacture Of Soft Drinks: Nonalcoholic Flavoured And/Or Sweetened Waters: Lemonade  Orangeade  Cola  Fruit Drinks  Tonic Waters Etc.,788307771,universarwanda@gmail.com
BRANDED FINE FOODS (RWANDA) LTD,KICUKIRO,Manufacture Of Special Foods  Such As:  Infant Formula Follow Up Milks And Other Follow Up Foods Baby Foods ¿,782840939,adminrw@brandedfine.com
MASTER STEEL LIMITED,KICUKIRO,Manufacture Of Tube Or Pipe Fittings Of Caststeel,788307700,info@mastee.biz
STEELRWA INDUSTRIES LTD,RWAMAGANA,Manufacture Of Tube Or Pipe Fittings Of Caststeel,788511431,info@steelrwa.com
IMANA STEEL RWANDA Ltd,NYARUGENGE,Manufacture Of Tube Or Pipe Fittings Of Caststeel,784683940,finance@imanagroup.net
UPROTUR GROUP LTD,KICUKIRO,Manufacture Of Tube Or Pipe Fittings Of Caststeel,788301636,rubanguraalphonsine@yahoo.fr
SUPER SAFARI RWANDA Ltd,NYARUGENGE,Manufacture Of Whey,789923023,G.M@Bugshaneastafricadji.com
NEW KIGALI DESIGNERS AND OUTFITTERS Ltd,GASABO,Manufacture Of Work Wear,788306161,chantal.murebwa@newkigalidesigners.
UR HOLDINGS GROUP(UR-HG) Ltd,NYARUGENGE,Medical Consultation And Treatment In The Field Of General And Specialized Medicine By General Practitioners And Medical Specialists And Surgeons,788864268,fam_khibdlimited@yahoo.com
ORBIT HEALTH CARE SERVICES LTD,GASABO,Medical Consultation And Treatment In The Field Of General And Specialized Medicine By General Practitioners And Medical Specialists And Surgeons,722722938,rwanda.accts@dragarwal.co.in
LEGACY CLINICS & DIAGNOSTICS Ltd,KICUKIRO,Medical Consultation And Treatment In The Field Of General And Specialized Medicine By General Practitioners And Medical Specialists And Surgeons,788309040,legacyclinics.rw
RWANDA ALLIED PARTERS,NYARUGENGE,Mining and quarrying of various minerals and materials: abrasive materials  asbestos  siliceous fossil meals  natural graphite  steatite (talc) feldspar etc. and natural asphalt  asphaltites and asphaltic rock; natural solid bitumen and gemstones  quartz  mica etc,788302837,jddibya@yahoo.co.uk
EUROTRADE INTERNATIONAL LTD,RULINDO,Mining and quarrying of various minerals and materials: abrasive materials  asbestos  siliceous fossil meals  natural graphite  steatite (talc) feldspar etc. and natural asphalt  asphaltites and asphaltic rock; natural solid bitumen and gemstones  quartz  mica etc,788305193,sadijillani@gmail.com
RWANDA RUDNIKI LTD,KICUKIRO,Mining and quarrying of various minerals and materials: abrasive materials  asbestos  siliceous fossil meals  natural graphite  steatite (talc) feldspar etc. and natural asphalt  asphaltites and asphaltic rock; natural solid bitumen and gemstones  quartz  mica etc,783167503,shirabeny@yahoo.com
WOLFRAM MINING & PROCESSING LTD,NYARUGENGE,Mining and quarrying of various minerals and materials: abrasive materials  asbestos  siliceous fossil meals  natural graphite  steatite (talc) feldspar etc. and natural asphalt  asphaltites and asphaltic rock; natural solid bitumen and gemstones  quartz  mica etc,788302727,agnesk@wmprwanda.com
BUGAMBIRA MINES LTD,KAYONZA,Mining and quarrying of various minerals and materials: abrasive materials  asbestos  siliceous fossil meals  natural graphite  steatite (talc) feldspar etc. and natural asphalt  asphaltites and asphaltic rock; natural solid bitumen and gemstones  quartz  mica etc,788302727,nyirahab2006@yahoo.fr
